"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4052","Radio buttons","chromium","Wed Apr 16 04:22:09 UTC 2025","passed","Wed Apr 16 04:22:13 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","8129","Input field","chromium","Wed Apr 16 04:22:32 UTC 2025","failed","Wed Apr 16 04:22:40 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","3984","Radio buttons","firefox","Wed Apr 16 04:22:15 UTC 2025","passed","Wed Apr 16 04:22:19 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","5950","the first test","firefox","Wed Apr 16 04:22:09 UTC 2025","passed","Wed Apr 16 04:22:15 UTC 2025","","firstTest.spec.ts","",""
"","3718","the first test","chromium","Wed Apr 16 04:22:09 UTC 2025","passed","Wed Apr 16 04:22:13 UTC 2025","","firstTest.spec.ts","",""
"","9468","Input field","firefox","Wed Apr 16 04:22:41 UTC 2025","failed","Wed Apr 16 04:22:51 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","0","Locators syntax rules","firefox","Wed Apr 16 04:22:13 UTC 2025","skipped","Wed Apr 16 04:22:13 UTC 2025","","firstTest.spec.ts","",""
"","2","Locators syntax rules","chromium","Wed Apr 16 04:22:08 UTC 2025","skipped","Wed Apr 16 04:22:08 UTC 2025","","firstTest.spec.ts","",""
