"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2385","dialogs","firefox","Tue Apr 22 23:33:47 UTC 2025","passed","Tue Apr 22 23:33:50 UTC 2025","","uiComponents.spec.ts","",""
"","10371","Input field","firefox","Tue Apr 22 23:33:22 UTC 2025","passed","Tue Apr 22 23:33:32 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","32145","Radio buttons","chromium","Tue Apr 22 23:32:34 UTC 2025","broken","Tue Apr 22 23:33:06 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","2575","first test using page object","firefox","Tue Apr 22 23:34:26 UTC 2025","passed","Tue Apr 22 23:34:29 UTC 2025","","usePageObjects.spec.ts","",""
"","4153","lists and dropdowns","chromium","Tue Apr 22 23:31:26 UTC 2025","passed","Tue Apr 22 23:31:30 UTC 2025","","uiComponents.spec.ts","",""
"","1","Locators syntax rules","firefox","Tue Apr 22 23:34:26 UTC 2025","skipped","Tue Apr 22 23:34:26 UTC 2025","","uiComponents.spec.ts","",""
"","32168","Input field","chromium","Tue Apr 22 23:32:34 UTC 2025","broken","Tue Apr 22 23:33:06 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","22774","tables","firefox","Tue Apr 22 23:33:50 UTC 2025","passed","Tue Apr 22 23:34:12 UTC 2025","","uiComponents.spec.ts","",""
"","2072","Radio buttons","firefox","Tue Apr 22 23:33:33 UTC 2025","passed","Tue Apr 22 23:33:35 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","32115","tables","chromium","Tue Apr 22 23:34:16 UTC 2025","broken","Tue Apr 22 23:34:48 UTC 2025","","uiComponents.spec.ts","",""
"","2049","first test using page object","chromium","Tue Apr 22 23:33:18 UTC 2025","passed","Tue Apr 22 23:33:20 UTC 2025","","usePageObjects.spec.ts","",""
"","3751","slider","firefox","Tue Apr 22 23:34:16 UTC 2025","passed","Tue Apr 22 23:34:20 UTC 2025","","uiComponents.spec.ts","",""
"","3954","lists and dropdowns","firefox","Tue Apr 22 23:33:37 UTC 2025","passed","Tue Apr 22 23:33:41 UTC 2025","","uiComponents.spec.ts","",""
"","4844","drag and drop","chromium","Tue Apr 22 23:33:13 UTC 2025","passed","Tue Apr 22 23:33:18 UTC 2025","","uiComponents.spec.ts","",""
"","6295","drag and drop","firefox","Tue Apr 22 23:34:20 UTC 2025","passed","Tue Apr 22 23:34:26 UTC 2025","","uiComponents.spec.ts","",""
"","32115","dialogs","chromium","Tue Apr 22 23:34:17 UTC 2025","broken","Tue Apr 22 23:34:49 UTC 2025","","uiComponents.spec.ts","",""
"","32200","checkboxes","chromium","Tue Apr 22 23:32:34 UTC 2025","broken","Tue Apr 22 23:33:07 UTC 2025","","uiComponents.spec.ts","",""
"","1512","test parameterized","firefox","Tue Apr 22 23:34:29 UTC 2025","passed","Tue Apr 22 23:34:30 UTC 2025","","usePageObjects.spec.ts","",""
"","32113","datepicker","chromium","Tue Apr 22 23:34:17 UTC 2025","broken","Tue Apr 22 23:34:49 UTC 2025","","uiComponents.spec.ts","",""
"","1","Locators syntax rules","chromium","Tue Apr 22 23:33:18 UTC 2025","skipped","Tue Apr 22 23:33:18 UTC 2025","","uiComponents.spec.ts","",""
"","1515","slider","chromium","Tue Apr 22 23:33:11 UTC 2025","passed","Tue Apr 22 23:33:13 UTC 2025","","uiComponents.spec.ts","",""
"","1040","test parameterized","chromium","Tue Apr 22 23:33:20 UTC 2025","passed","Tue Apr 22 23:33:21 UTC 2025","","usePageObjects.spec.ts","",""
"","2326","checkboxes","firefox","Tue Apr 22 23:33:35 UTC 2025","passed","Tue Apr 22 23:33:37 UTC 2025","","uiComponents.spec.ts","",""
"","32193","tooltips","chromium","Tue Apr 22 23:32:38 UTC 2025","broken","Tue Apr 22 23:33:10 UTC 2025","","uiComponents.spec.ts","",""
"","3381","datepicker","firefox","Tue Apr 22 23:34:12 UTC 2025","passed","Tue Apr 22 23:34:16 UTC 2025","","uiComponents.spec.ts","",""
"","6155","tooltips","firefox","Tue Apr 22 23:33:41 UTC 2025","passed","Tue Apr 22 23:33:47 UTC 2025","","uiComponents.spec.ts","",""
