"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32047","tables","chromium","Tue Apr 22 07:17:49 UTC 2025","broken","Tue Apr 22 07:18:22 UTC 2025","","uiComponents.spec.ts","",""
"","32122","checkboxes","chromium","Tue Apr 22 07:16:07 UTC 2025","broken","Tue Apr 22 07:16:39 UTC 2025","","uiComponents.spec.ts","",""
"","0","Locators syntax rules","chromium","Tue Apr 22 07:16:50 UTC 2025","skipped","Tue Apr 22 07:16:50 UTC 2025","","uiComponents.spec.ts","",""
"","32053","tooltips","chromium","Tue Apr 22 07:16:11 UTC 2025","broken","Tue Apr 22 07:16:43 UTC 2025","","uiComponents.spec.ts","",""
"","930","test parameterized","chromium","Tue Apr 22 07:16:51 UTC 2025","passed","Tue Apr 22 07:16:52 UTC 2025","","usePageObjects.spec.ts","",""
"","2438","checkboxes","firefox","Tue Apr 22 07:17:06 UTC 2025","passed","Tue Apr 22 07:17:08 UTC 2025","","uiComponents.spec.ts","",""
"","32072","Input field","chromium","Tue Apr 22 07:16:07 UTC 2025","broken","Tue Apr 22 07:16:39 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","1984","Radio buttons","firefox","Tue Apr 22 07:17:04 UTC 2025","passed","Tue Apr 22 07:17:06 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","8473","drag and drop","firefox","Tue Apr 22 07:17:48 UTC 2025","passed","Tue Apr 22 07:17:57 UTC 2025","","uiComponents.spec.ts","",""
"","10392","Input field","firefox","Tue Apr 22 07:16:53 UTC 2025","passed","Tue Apr 22 07:17:03 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","2305","datepicker","firefox","Tue Apr 22 07:17:43 UTC 2025","passed","Tue Apr 22 07:17:45 UTC 2025","","uiComponents.spec.ts","",""
"","5203","lists and dropdowns","chromium","Tue Apr 22 07:14:56 UTC 2025","passed","Tue Apr 22 07:15:01 UTC 2025","","uiComponents.spec.ts","",""
"","4023","drag and drop","chromium","Tue Apr 22 07:16:46 UTC 2025","passed","Tue Apr 22 07:16:50 UTC 2025","","uiComponents.spec.ts","",""
"","1","Locators syntax rules","firefox","Tue Apr 22 07:17:57 UTC 2025","skipped","Tue Apr 22 07:17:57 UTC 2025","","uiComponents.spec.ts","",""
"","32058","Radio buttons","chromium","Tue Apr 22 07:16:07 UTC 2025","broken","Tue Apr 22 07:16:39 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","1222","slider","chromium","Tue Apr 22 07:16:44 UTC 2025","passed","Tue Apr 22 07:16:46 UTC 2025","","uiComponents.spec.ts","",""
"","1618","first test using page object","chromium","Tue Apr 22 07:16:50 UTC 2025","passed","Tue Apr 22 07:16:51 UTC 2025","","usePageObjects.spec.ts","",""
"","3367","tooltips","firefox","Tue Apr 22 07:17:11 UTC 2025","passed","Tue Apr 22 07:17:15 UTC 2025","","uiComponents.spec.ts","",""
"","3018","lists and dropdowns","firefox","Tue Apr 22 07:17:08 UTC 2025","passed","Tue Apr 22 07:17:11 UTC 2025","","uiComponents.spec.ts","",""
"","2899","slider","firefox","Tue Apr 22 07:17:45 UTC 2025","passed","Tue Apr 22 07:17:48 UTC 2025","","uiComponents.spec.ts","",""
"","32052","dialogs","chromium","Tue Apr 22 07:17:48 UTC 2025","broken","Tue Apr 22 07:18:20 UTC 2025","","uiComponents.spec.ts","",""
"","22709","tables","firefox","Tue Apr 22 07:17:20 UTC 2025","passed","Tue Apr 22 07:17:43 UTC 2025","","uiComponents.spec.ts","",""
"","5601","dialogs","firefox","Tue Apr 22 07:17:15 UTC 2025","passed","Tue Apr 22 07:17:20 UTC 2025","","uiComponents.spec.ts","",""
"","2616","first test using page object","firefox","Tue Apr 22 07:17:57 UTC 2025","passed","Tue Apr 22 07:18:00 UTC 2025","","usePageObjects.spec.ts","",""
"","32054","datepicker","chromium","Tue Apr 22 07:17:50 UTC 2025","broken","Tue Apr 22 07:18:22 UTC 2025","","uiComponents.spec.ts","",""
"","1241","test parameterized","firefox","Tue Apr 22 07:18:00 UTC 2025","passed","Tue Apr 22 07:18:01 UTC 2025","","usePageObjects.spec.ts","",""
