"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Locators syntax rules","firefox","Tue Apr 15 07:16:20 UTC 2025","skipped","Tue Apr 15 07:16:20 UTC 2025","","firstTest.spec.ts","",""
"","2103","the first test","chromium","Tue Apr 15 07:16:14 UTC 2025","passed","Tue Apr 15 07:16:16 UTC 2025","","firstTest.spec.ts","",""
"","1","Locators syntax rules","chromium","Tue Apr 15 07:16:17 UTC 2025","skipped","Tue Apr 15 07:16:17 UTC 2025","","firstTest.spec.ts","",""
"","2681","the first test","firefox","Tue Apr 15 07:16:17 UTC 2025","passed","Tue Apr 15 07:16:20 UTC 2025","","firstTest.spec.ts","",""
