"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","Locators syntax rules","chromium","Tue Apr 15 07:38:01 UTC 2025","skipped","Tue Apr 15 07:38:01 UTC 2025","","firstTest.spec.ts","",""
"","2940","the first test","firefox","Tue Apr 15 07:38:02 UTC 2025","passed","Tue Apr 15 07:38:05 UTC 2025","","firstTest.spec.ts","",""
"","1","Locators syntax rules","firefox","Tue Apr 15 07:38:01 UTC 2025","skipped","Tue Apr 15 07:38:01 UTC 2025","","firstTest.spec.ts","",""
"","1934","the first test","chromium","Tue Apr 15 07:38:02 UTC 2025","passed","Tue Apr 15 07:38:04 UTC 2025","","firstTest.spec.ts","",""
