"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2668","the first test","firefox","Tue Apr 15 07:06:14 UTC 2025","passed","Tue Apr 15 07:06:17 UTC 2025","","firstTest.spec.ts","",""
"","1840","the first test","chromium","Tue Apr 15 07:06:09 UTC 2025","passed","Tue Apr 15 07:06:11 UTC 2025","","firstTest.spec.ts","",""
"","1","Locators syntax rules","chromium","Tue Apr 15 07:06:13 UTC 2025","skipped","Tue Apr 15 07:06:13 UTC 2025","","firstTest.spec.ts","",""
"","0","Locators syntax rules","firefox","Tue Apr 15 07:06:17 UTC 2025","skipped","Tue Apr 15 07:06:17 UTC 2025","","firstTest.spec.ts","",""
