"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7122","drag and drop","firefox","Thu Apr 17 14:14:20 UTC 2025","passed","Thu Apr 17 14:14:27 UTC 2025","","uiComponents.spec.ts","",""
"","5659","dialogs","firefox","Thu Apr 17 14:14:14 UTC 2025","passed","Thu Apr 17 14:14:20 UTC 2025","","uiComponents.spec.ts","",""
"","30064","dialogs","chromium","Thu Apr 17 14:13:28 UTC 2025","broken","Thu Apr 17 14:13:58 UTC 2025","","uiComponents.spec.ts","",""
"","2","Locators syntax rules","chromium","Thu Apr 17 14:10:49 UTC 2025","skipped","Thu Apr 17 14:10:49 UTC 2025","","firstTest.spec.ts","",""
"","4989","drag and drop","chromium","Thu Apr 17 14:13:59 UTC 2025","passed","Thu Apr 17 14:14:04 UTC 2025","","uiComponents.spec.ts","",""
"","4825","the first test","firefox","Thu Apr 17 14:14:01 UTC 2025","passed","Thu Apr 17 14:14:06 UTC 2025","","firstTest.spec.ts","",""
"","26959","tables","firefox","Thu Apr 17 14:14:14 UTC 2025","passed","Thu Apr 17 14:14:41 UTC 2025","","uiComponents.spec.ts","",""
"","30051","Radio buttons","chromium","Thu Apr 17 14:11:53 UTC 2025","broken","Thu Apr 17 14:12:23 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","4411","slider","firefox","Thu Apr 17 14:14:18 UTC 2025","passed","Thu Apr 17 14:14:22 UTC 2025","","uiComponents.spec.ts","",""
"","6922","Radio buttons","firefox","Thu Apr 17 14:14:05 UTC 2025","passed","Thu Apr 17 14:14:12 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","1","Locators syntax rules","firefox","Thu Apr 17 14:14:01 UTC 2025","skipped","Thu Apr 17 14:14:01 UTC 2025","","firstTest.spec.ts","",""
"","7317","checkboxes","firefox","Thu Apr 17 14:14:05 UTC 2025","passed","Thu Apr 17 14:14:13 UTC 2025","","uiComponents.spec.ts","",""
"","30099","Input field","chromium","Thu Apr 17 14:11:54 UTC 2025","broken","Thu Apr 17 14:12:24 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","13868","Input field","firefox","Thu Apr 17 14:14:02 UTC 2025","passed","Thu Apr 17 14:14:16 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","4775","tooltips","firefox","Thu Apr 17 14:14:13 UTC 2025","passed","Thu Apr 17 14:14:18 UTC 2025","","uiComponents.spec.ts","",""
"","3371","lists and dropdowns","chromium","Thu Apr 17 14:12:24 UTC 2025","passed","Thu Apr 17 14:12:28 UTC 2025","","uiComponents.spec.ts","",""
"","30231","datepicker","chromium","Thu Apr 17 14:13:33 UTC 2025","broken","Thu Apr 17 14:14:03 UTC 2025","","uiComponents.spec.ts","",""
"","30053","tooltips","chromium","Thu Apr 17 14:13:27 UTC 2025","broken","Thu Apr 17 14:13:57 UTC 2025","","uiComponents.spec.ts","",""
"","1658","slider","chromium","Thu Apr 17 14:13:58 UTC 2025","passed","Thu Apr 17 14:14:00 UTC 2025","","uiComponents.spec.ts","",""
"","5775","datepicker","firefox","Thu Apr 17 14:14:17 UTC 2025","passed","Thu Apr 17 14:14:22 UTC 2025","","uiComponents.spec.ts","",""
"","30103","tables","chromium","Thu Apr 17 14:13:31 UTC 2025","broken","Thu Apr 17 14:14:01 UTC 2025","","uiComponents.spec.ts","",""
"","30064","checkboxes","chromium","Thu Apr 17 14:11:53 UTC 2025","broken","Thu Apr 17 14:12:24 UTC 2025","","uiComponents.spec.ts","",""
"","7785","lists and dropdowns","firefox","Thu Apr 17 14:14:06 UTC 2025","passed","Thu Apr 17 14:14:14 UTC 2025","","uiComponents.spec.ts","",""
"","32064","the first test","chromium","Thu Apr 17 14:11:58 UTC 2025","broken","Thu Apr 17 14:12:30 UTC 2025","","firstTest.spec.ts","",""
