"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32053","the first test","chromium","Thu Apr 17 15:38:09 UTC 2025","broken","Thu Apr 17 15:38:41 UTC 2025","","firstTest.spec.ts","",""
"","30086","datepicker","chromium","Thu Apr 17 15:39:44 UTC 2025","broken","Thu Apr 17 15:40:14 UTC 2025","","uiComponents.spec.ts","",""
"","30054","Radio buttons","chromium","Thu Apr 17 15:38:04 UTC 2025","broken","Thu Apr 17 15:38:34 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","30087","Input field","chromium","Thu Apr 17 15:38:04 UTC 2025","broken","Thu Apr 17 15:38:34 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","1639","slider","chromium","Thu Apr 17 15:40:09 UTC 2025","passed","Thu Apr 17 15:40:10 UTC 2025","","uiComponents.spec.ts","",""
"","5448","datepicker","firefox","Thu Apr 17 15:40:28 UTC 2025","passed","Thu Apr 17 15:40:33 UTC 2025","","uiComponents.spec.ts","",""
"","4892","slider","firefox","Thu Apr 17 15:40:29 UTC 2025","passed","Thu Apr 17 15:40:34 UTC 2025","","uiComponents.spec.ts","",""
"","4844","first test using page object","firefox","Thu Apr 17 15:40:33 UTC 2025","passed","Thu Apr 17 15:40:38 UTC 2025","","usePageObjects.spec.ts","",""
"","7109","lists and dropdowns","firefox","Thu Apr 17 15:40:20 UTC 2025","passed","Thu Apr 17 15:40:27 UTC 2025","","uiComponents.spec.ts","",""
"","5292","drag and drop","chromium","Thu Apr 17 15:40:09 UTC 2025","passed","Thu Apr 17 15:40:14 UTC 2025","","uiComponents.spec.ts","",""
"","7959","checkboxes","firefox","Thu Apr 17 15:40:16 UTC 2025","passed","Thu Apr 17 15:40:24 UTC 2025","","uiComponents.spec.ts","",""
"","2","Locators syntax rules","chromium","Thu Apr 17 15:36:54 UTC 2025","skipped","Thu Apr 17 15:36:54 UTC 2025","","firstTest.spec.ts","",""
"","4398","tooltips","firefox","Thu Apr 17 15:40:23 UTC 2025","passed","Thu Apr 17 15:40:28 UTC 2025","","uiComponents.spec.ts","",""
"","14494","Input field","firefox","Thu Apr 17 15:40:14 UTC 2025","passed","Thu Apr 17 15:40:29 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","9172","drag and drop","firefox","Thu Apr 17 15:40:30 UTC 2025","passed","Thu Apr 17 15:40:39 UTC 2025","","uiComponents.spec.ts","",""
"","30225","tables","chromium","Thu Apr 17 15:39:41 UTC 2025","broken","Thu Apr 17 15:40:11 UTC 2025","","uiComponents.spec.ts","",""
"","2713","first test using page object","chromium","Thu Apr 17 15:40:10 UTC 2025","passed","Thu Apr 17 15:40:13 UTC 2025","","usePageObjects.spec.ts","",""
"","4727","dialogs","firefox","Thu Apr 17 15:40:25 UTC 2025","passed","Thu Apr 17 15:40:30 UTC 2025","","uiComponents.spec.ts","",""
"","30051","tooltips","chromium","Thu Apr 17 15:39:38 UTC 2025","broken","Thu Apr 17 15:40:08 UTC 2025","","uiComponents.spec.ts","",""
"","30050","checkboxes","chromium","Thu Apr 17 15:38:04 UTC 2025","broken","Thu Apr 17 15:38:34 UTC 2025","","uiComponents.spec.ts","",""
"","26467","tables","firefox","Thu Apr 17 15:40:27 UTC 2025","passed","Thu Apr 17 15:40:54 UTC 2025","","uiComponents.spec.ts","",""
"","0","Locators syntax rules","firefox","Thu Apr 17 15:40:13 UTC 2025","skipped","Thu Apr 17 15:40:13 UTC 2025","","firstTest.spec.ts","",""
"","3253","lists and dropdowns","chromium","Thu Apr 17 15:38:35 UTC 2025","passed","Thu Apr 17 15:38:38 UTC 2025","","uiComponents.spec.ts","",""
"","30067","dialogs","chromium","Thu Apr 17 15:39:38 UTC 2025","broken","Thu Apr 17 15:40:08 UTC 2025","","uiComponents.spec.ts","",""
"","6790","the first test","firefox","Thu Apr 17 15:40:13 UTC 2025","passed","Thu Apr 17 15:40:19 UTC 2025","","firstTest.spec.ts","",""
"","7383","Radio buttons","firefox","Thu Apr 17 15:40:15 UTC 2025","passed","Thu Apr 17 15:40:23 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
