"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5726","lists and dropdowns","chromium","Tue Apr 22 23:41:00 UTC 2025","passed","Tue Apr 22 23:41:05 UTC 2025","","uiComponents.spec.ts","",""
"","23493","tables","chromium","Tue Apr 22 23:41:06 UTC 2025","passed","Tue Apr 22 23:41:29 UTC 2025","","uiComponents.spec.ts","",""
"","4267","first test using page object","chromium","Tue Apr 22 23:41:11 UTC 2025","passed","Tue Apr 22 23:41:15 UTC 2025","","usePageObjects.spec.ts","",""
"","5375","dialogs","firefox","Tue Apr 22 23:41:28 UTC 2025","passed","Tue Apr 22 23:41:34 UTC 2025","","uiComponents.spec.ts","",""
"","3987","Radio buttons","chromium","Tue Apr 22 23:41:00 UTC 2025","passed","Tue Apr 22 23:41:04 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","11210","drag and drop","firefox","Tue Apr 22 23:41:34 UTC 2025","passed","Tue Apr 22 23:41:45 UTC 2025","","uiComponents.spec.ts","",""
"","2527","slider","chromium","Tue Apr 22 23:41:08 UTC 2025","passed","Tue Apr 22 23:41:10 UTC 2025","","uiComponents.spec.ts","",""
"","1","Locators syntax rules","chromium","Tue Apr 22 23:41:10 UTC 2025","skipped","Tue Apr 22 23:41:10 UTC 2025","","uiComponents.spec.ts","",""
"","6362","Radio buttons","firefox","Tue Apr 22 23:41:16 UTC 2025","passed","Tue Apr 22 23:41:22 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","13756","Input field","firefox","Tue Apr 22 23:41:15 UTC 2025","passed","Tue Apr 22 23:41:29 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","3367","tooltips","firefox","Tue Apr 22 23:41:26 UTC 2025","passed","Tue Apr 22 23:41:29 UTC 2025","","uiComponents.spec.ts","",""
"","10725","Input field","chromium","Tue Apr 22 23:41:00 UTC 2025","passed","Tue Apr 22 23:41:10 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","3241","dialogs","chromium","Tue Apr 22 23:41:04 UTC 2025","passed","Tue Apr 22 23:41:08 UTC 2025","","uiComponents.spec.ts","",""
"","5132","slider","firefox","Tue Apr 22 23:41:30 UTC 2025","passed","Tue Apr 22 23:41:35 UTC 2025","","uiComponents.spec.ts","",""
"","6661","checkboxes","firefox","Tue Apr 22 23:41:18 UTC 2025","passed","Tue Apr 22 23:41:25 UTC 2025","","uiComponents.spec.ts","",""
"","4443","checkboxes","chromium","Tue Apr 22 23:41:00 UTC 2025","passed","Tue Apr 22 23:41:04 UTC 2025","","uiComponents.spec.ts","",""
"","5051","lists and dropdowns","firefox","Tue Apr 22 23:41:23 UTC 2025","passed","Tue Apr 22 23:41:28 UTC 2025","","uiComponents.spec.ts","",""
"","6697","drag and drop","chromium","Tue Apr 22 23:41:10 UTC 2025","passed","Tue Apr 22 23:41:17 UTC 2025","","uiComponents.spec.ts","",""
"","1","Locators syntax rules","firefox","Tue Apr 22 23:41:35 UTC 2025","skipped","Tue Apr 22 23:41:35 UTC 2025","","uiComponents.spec.ts","",""
"","4507","test parameterized","firefox","Tue Apr 22 23:41:36 UTC 2025","passed","Tue Apr 22 23:41:40 UTC 2025","","usePageObjects.spec.ts","",""
"","3200","tooltips","chromium","Tue Apr 22 23:41:04 UTC 2025","passed","Tue Apr 22 23:41:07 UTC 2025","","uiComponents.spec.ts","",""
"","6950","first test using page object","firefox","Tue Apr 22 23:41:36 UTC 2025","passed","Tue Apr 22 23:41:43 UTC 2025","","usePageObjects.spec.ts","",""
"","5885","datepicker","firefox","Tue Apr 22 23:41:29 UTC 2025","passed","Tue Apr 22 23:41:35 UTC 2025","","uiComponents.spec.ts","",""
"","30079","tables","firefox","Tue Apr 22 23:41:31 UTC 2025","passed","Tue Apr 22 23:42:01 UTC 2025","","uiComponents.spec.ts","",""
"","3001","datepicker","chromium","Tue Apr 22 23:41:07 UTC 2025","passed","Tue Apr 22 23:41:10 UTC 2025","","uiComponents.spec.ts","",""
"","2926","test parameterized","chromium","Tue Apr 22 23:41:11 UTC 2025","passed","Tue Apr 22 23:41:14 UTC 2025","","usePageObjects.spec.ts","",""
