"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10386","Input field","firefox","Wed Apr 16 04:56:47 UTC 2025","passed","Wed Apr 16 04:56:57 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","1","Locators syntax rules","chromium","Wed Apr 16 04:56:40 UTC 2025","skipped","Wed Apr 16 04:56:40 UTC 2025","","firstTest.spec.ts","",""
"","4239","the first test","chromium","Wed Apr 16 04:56:41 UTC 2025","passed","Wed Apr 16 04:56:45 UTC 2025","","firstTest.spec.ts","",""
"","2","Locators syntax rules","firefox","Wed Apr 16 04:56:46 UTC 2025","skipped","Wed Apr 16 04:56:46 UTC 2025","","firstTest.spec.ts","",""
"","5026","the first test","firefox","Wed Apr 16 04:56:41 UTC 2025","passed","Wed Apr 16 04:56:46 UTC 2025","","firstTest.spec.ts","",""
"","4422","Radio buttons","chromium","Wed Apr 16 04:56:41 UTC 2025","passed","Wed Apr 16 04:56:45 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","3798","Radio buttons","firefox","Wed Apr 16 04:56:47 UTC 2025","passed","Wed Apr 16 04:56:51 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","11236","Input field","chromium","Wed Apr 16 04:56:41 UTC 2025","passed","Wed Apr 16 04:56:52 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
