"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30079","the first test","webkit","Tue Apr 15 06:57:28 UTC 2025","broken","Tue Apr 15 06:57:58 UTC 2025","","firstTest.spec.ts","",""
"","0","Locators syntax rules","webkit","Tue Apr 15 06:57:58 UTC 2025","skipped","Tue Apr 15 06:57:58 UTC 2025","","firstTest.spec.ts","",""
"","4843","the first test","firefox","Tue Apr 15 06:56:19 UTC 2025","passed","Tue Apr 15 06:56:23 UTC 2025","","firstTest.spec.ts","",""
"","1","Locators syntax rules","chromium","Tue Apr 15 06:56:18 UTC 2025","skipped","Tue Apr 15 06:56:18 UTC 2025","","firstTest.spec.ts","",""
"","1","Locators syntax rules","firefox","Tue Apr 15 06:56:24 UTC 2025","skipped","Tue Apr 15 06:56:24 UTC 2025","","firstTest.spec.ts","",""
"","1235","the first test","chromium","Tue Apr 15 06:56:16 UTC 2025","passed","Tue Apr 15 06:56:18 UTC 2025","","firstTest.spec.ts","",""
