"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1224","the first test","chromium","Tue Apr 15 07:11:23 UTC 2025","passed","Tue Apr 15 07:11:24 UTC 2025","","firstTest.spec.ts","",""
"","1","Locators syntax rules","chromium","Tue Apr 15 07:11:26 UTC 2025","skipped","Tue Apr 15 07:11:26 UTC 2025","","firstTest.spec.ts","",""
"","2474","the first test","firefox","Tue Apr 15 07:11:27 UTC 2025","passed","Tue Apr 15 07:11:29 UTC 2025","","firstTest.spec.ts","",""
"","2","Locators syntax rules","firefox","Tue Apr 15 07:11:29 UTC 2025","skipped","Tue Apr 15 07:11:29 UTC 2025","","firstTest.spec.ts","",""
