"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Locators syntax rules","firefox","Wed Apr 16 17:00:48 UTC 2025","skipped","Wed Apr 16 17:00:48 UTC 2025","","firstTest.spec.ts","",""
"","2343","datepicker","chromium","Wed Apr 16 17:00:45 UTC 2025","passed","Wed Apr 16 17:00:48 UTC 2025","","uiComponents.spec.ts","",""
"","4089","Radio buttons","chromium","Wed Apr 16 17:00:34 UTC 2025","passed","Wed Apr 16 17:00:38 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","24730","tables","firefox","Wed Apr 16 17:01:01 UTC 2025","passed","Wed Apr 16 17:01:25 UTC 2025","","uiComponents.spec.ts","",""
"","4041","lists and dropdowns","chromium","Wed Apr 16 17:00:41 UTC 2025","passed","Wed Apr 16 17:00:45 UTC 2025","","uiComponents.spec.ts","",""
"","3924","the first test","chromium","Wed Apr 16 17:00:34 UTC 2025","passed","Wed Apr 16 17:00:38 UTC 2025","","firstTest.spec.ts","",""
"","12042","Input field","firefox","Wed Apr 16 17:00:49 UTC 2025","passed","Wed Apr 16 17:01:01 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","6015","the first test","firefox","Wed Apr 16 17:00:47 UTC 2025","passed","Wed Apr 16 17:00:53 UTC 2025","","firstTest.spec.ts","",""
"","3774","checkboxes","firefox","Wed Apr 16 17:00:54 UTC 2025","passed","Wed Apr 16 17:00:57 UTC 2025","","uiComponents.spec.ts","",""
"","10744","Input field","chromium","Wed Apr 16 17:00:34 UTC 2025","passed","Wed Apr 16 17:00:45 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","3879","dialogs","firefox","Wed Apr 16 17:01:00 UTC 2025","passed","Wed Apr 16 17:01:04 UTC 2025","","uiComponents.spec.ts","",""
"","2778","tooltips","chromium","Wed Apr 16 17:00:41 UTC 2025","passed","Wed Apr 16 17:00:44 UTC 2025","","uiComponents.spec.ts","",""
"","5126","checkboxes","chromium","Wed Apr 16 17:00:34 UTC 2025","passed","Wed Apr 16 17:00:39 UTC 2025","","uiComponents.spec.ts","",""
"","5078","Radio buttons","firefox","Wed Apr 16 17:00:49 UTC 2025","passed","Wed Apr 16 17:00:55 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","4049","datepicker","firefox","Wed Apr 16 17:01:32 UTC 2025","passed","Wed Apr 16 17:01:36 UTC 2025","","uiComponents.spec.ts","",""
"","1","Locators syntax rules","chromium","Wed Apr 16 17:00:33 UTC 2025","skipped","Wed Apr 16 17:00:33 UTC 2025","","firstTest.spec.ts","",""
"","3200","tooltips","firefox","Wed Apr 16 17:00:57 UTC 2025","passed","Wed Apr 16 17:01:01 UTC 2025","","uiComponents.spec.ts","",""
"","2995","dialogs","chromium","Wed Apr 16 17:00:43 UTC 2025","passed","Wed Apr 16 17:00:46 UTC 2025","","uiComponents.spec.ts","",""
"","4367","lists and dropdowns","firefox","Wed Apr 16 17:00:55 UTC 2025","passed","Wed Apr 16 17:01:00 UTC 2025","","uiComponents.spec.ts","",""
"","23077","tables","chromium","Wed Apr 16 17:00:44 UTC 2025","passed","Wed Apr 16 17:01:07 UTC 2025","","uiComponents.spec.ts","",""
