"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3792","dialogs","firefox","Wed Apr 16 16:57:32 UTC 2025","passed","Wed Apr 16 16:57:36 UTC 2025","","uiComponents.spec.ts","",""
"","24258","tables","firefox","Wed Apr 16 16:57:32 UTC 2025","passed","Wed Apr 16 16:57:56 UTC 2025","","uiComponents.spec.ts","",""
"","13588","Input field","firefox","Wed Apr 16 16:57:19 UTC 2025","passed","Wed Apr 16 16:57:33 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","6500","Radio buttons","firefox","Wed Apr 16 16:57:20 UTC 2025","passed","Wed Apr 16 16:57:26 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","4945","checkboxes","firefox","Wed Apr 16 16:57:24 UTC 2025","passed","Wed Apr 16 16:57:29 UTC 2025","","uiComponents.spec.ts","",""
"","3838","Radio buttons","chromium","Wed Apr 16 16:57:01 UTC 2025","passed","Wed Apr 16 16:57:05 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","3705","the first test","chromium","Wed Apr 16 16:57:01 UTC 2025","passed","Wed Apr 16 16:57:05 UTC 2025","","firstTest.spec.ts","",""
"","3","Locators syntax rules","chromium","Wed Apr 16 16:57:00 UTC 2025","skipped","Wed Apr 16 16:57:00 UTC 2025","","firstTest.spec.ts","",""
"","4537","lists and dropdowns","firefox","Wed Apr 16 16:57:27 UTC 2025","passed","Wed Apr 16 16:57:32 UTC 2025","","uiComponents.spec.ts","",""
"","3502","datepicket","chromium","Wed Apr 16 16:57:15 UTC 2025","passed","Wed Apr 16 16:57:19 UTC 2025","","uiComponents.spec.ts","",""
"","3136","tooltips","chromium","Wed Apr 16 16:57:11 UTC 2025","passed","Wed Apr 16 16:57:14 UTC 2025","","uiComponents.spec.ts","",""
"","4325","checkboxes","chromium","Wed Apr 16 16:57:01 UTC 2025","passed","Wed Apr 16 16:57:05 UTC 2025","","uiComponents.spec.ts","",""
"","3335","dialogs","chromium","Wed Apr 16 16:57:12 UTC 2025","passed","Wed Apr 16 16:57:15 UTC 2025","","uiComponents.spec.ts","",""
"","5421","the first test","firefox","Wed Apr 16 16:57:17 UTC 2025","passed","Wed Apr 16 16:57:23 UTC 2025","","firstTest.spec.ts","",""
"","3299","datepicket","firefox","Wed Apr 16 16:57:34 UTC 2025","passed","Wed Apr 16 16:57:37 UTC 2025","","uiComponents.spec.ts","",""
"","4424","lists and dropdowns","chromium","Wed Apr 16 16:57:11 UTC 2025","passed","Wed Apr 16 16:57:16 UTC 2025","","uiComponents.spec.ts","",""
"","3292","tooltips","firefox","Wed Apr 16 16:57:29 UTC 2025","passed","Wed Apr 16 16:57:32 UTC 2025","","uiComponents.spec.ts","",""
"","0","Locators syntax rules","firefox","Wed Apr 16 16:57:18 UTC 2025","skipped","Wed Apr 16 16:57:18 UTC 2025","","firstTest.spec.ts","",""
"","10501","Input field","chromium","Wed Apr 16 16:57:01 UTC 2025","passed","Wed Apr 16 16:57:12 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","23565","tables","chromium","Wed Apr 16 16:57:14 UTC 2025","passed","Wed Apr 16 16:57:38 UTC 2025","","uiComponents.spec.ts","",""
