"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22887","tables","chromium","Wed Apr 16 17:05:04 UTC 2025","passed","Wed Apr 16 17:05:27 UTC 2025","","uiComponents.spec.ts","",""
"","3774","checkboxes","chromium","Wed Apr 16 17:04:57 UTC 2025","passed","Wed Apr 16 17:05:01 UTC 2025","","uiComponents.spec.ts","",""
"","2875","tooltips","chromium","Wed Apr 16 17:05:01 UTC 2025","passed","Wed Apr 16 17:05:04 UTC 2025","","uiComponents.spec.ts","",""
"","4410","the first test","firefox","Wed Apr 16 17:05:06 UTC 2025","passed","Wed Apr 16 17:05:10 UTC 2025","","firstTest.spec.ts","",""
"","1","Locators syntax rules","firefox","Wed Apr 16 17:05:07 UTC 2025","skipped","Wed Apr 16 17:05:07 UTC 2025","","firstTest.spec.ts","",""
"","2515","datepicker","chromium","Wed Apr 16 17:05:05 UTC 2025","passed","Wed Apr 16 17:05:07 UTC 2025","","uiComponents.spec.ts","",""
"","3488","dialogs","chromium","Wed Apr 16 17:05:01 UTC 2025","passed","Wed Apr 16 17:05:05 UTC 2025","","uiComponents.spec.ts","",""
"","3381","dialogs","firefox","Wed Apr 16 17:05:21 UTC 2025","passed","Wed Apr 16 17:05:24 UTC 2025","","uiComponents.spec.ts","",""
"","4570","checkboxes","firefox","Wed Apr 16 17:05:42 UTC 2025","passed","Wed Apr 16 17:05:46 UTC 2025","","uiComponents.spec.ts","",""
"","10283","Input field","chromium","Wed Apr 16 17:04:57 UTC 2025","passed","Wed Apr 16 17:05:07 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","3223","lists and dropdowns","firefox","Wed Apr 16 17:05:15 UTC 2025","passed","Wed Apr 16 17:05:18 UTC 2025","","uiComponents.spec.ts","",""
"","2266","tooltips","firefox","Wed Apr 16 17:05:18 UTC 2025","passed","Wed Apr 16 17:05:21 UTC 2025","","uiComponents.spec.ts","",""
"","24188","tables","firefox","Wed Apr 16 17:05:21 UTC 2025","passed","Wed Apr 16 17:05:45 UTC 2025","","uiComponents.spec.ts","",""
"","3574","lists and dropdowns","chromium","Wed Apr 16 17:05:01 UTC 2025","passed","Wed Apr 16 17:05:05 UTC 2025","","uiComponents.spec.ts","",""
"","2562","datepicker","firefox","Wed Apr 16 17:05:24 UTC 2025","passed","Wed Apr 16 17:05:27 UTC 2025","","uiComponents.spec.ts","",""
"","12274","Input field","firefox","Wed Apr 16 17:05:08 UTC 2025","passed","Wed Apr 16 17:05:20 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","3436","the first test","chromium","Wed Apr 16 17:04:57 UTC 2025","passed","Wed Apr 16 17:05:01 UTC 2025","","firstTest.spec.ts","",""
"","3653","Radio buttons","chromium","Wed Apr 16 17:04:57 UTC 2025","passed","Wed Apr 16 17:05:01 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","2","Locators syntax rules","chromium","Wed Apr 16 17:04:56 UTC 2025","skipped","Wed Apr 16 17:04:56 UTC 2025","","firstTest.spec.ts","",""
"","5415","Radio buttons","firefox","Wed Apr 16 17:05:09 UTC 2025","passed","Wed Apr 16 17:05:14 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
