"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32080","Radio buttons","chromium","Mon Apr 21 16:20:46 UTC 2025","broken","Mon Apr 21 16:21:18 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","32052","tooltips","chromium","Mon Apr 21 16:20:51 UTC 2025","broken","Mon Apr 21 16:21:23 UTC 2025","","uiComponents.spec.ts","",""
"","4","Locators syntax rules","firefox","Mon Apr 21 16:23:20 UTC 2025","skipped","Mon Apr 21 16:23:20 UTC 2025","","uiComponents.spec.ts","",""
"","13523","Input field","firefox","Mon Apr 21 16:23:00 UTC 2025","passed","Mon Apr 21 16:23:14 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","30179","first test using page object","firefox","Mon Apr 21 16:24:24 UTC 2025","broken","Mon Apr 21 16:24:54 UTC 2025","","usePageObjects.spec.ts","",""
"","4540","tooltips","firefox","Mon Apr 21 16:23:09 UTC 2025","passed","Mon Apr 21 16:23:13 UTC 2025","","uiComponents.spec.ts","",""
"","32095","tables","chromium","Mon Apr 21 16:22:27 UTC 2025","broken","Mon Apr 21 16:22:59 UTC 2025","","uiComponents.spec.ts","",""
"","1205","slider","chromium","Mon Apr 21 16:21:24 UTC 2025","passed","Mon Apr 21 16:21:25 UTC 2025","","uiComponents.spec.ts","",""
"","32089","checkboxes","chromium","Mon Apr 21 16:20:46 UTC 2025","broken","Mon Apr 21 16:21:18 UTC 2025","","uiComponents.spec.ts","",""
"","6140","datepicker","firefox","Mon Apr 21 16:23:14 UTC 2025","passed","Mon Apr 21 16:23:20 UTC 2025","","uiComponents.spec.ts","",""
"","8537","lists and dropdowns","firefox","Mon Apr 21 16:23:04 UTC 2025","passed","Mon Apr 21 16:23:13 UTC 2025","","uiComponents.spec.ts","",""
"","32054","dialogs","chromium","Mon Apr 21 16:22:25 UTC 2025","broken","Mon Apr 21 16:22:58 UTC 2025","","uiComponents.spec.ts","",""
"","30158","first test using page object","chromium","Mon Apr 21 16:22:32 UTC 2025","broken","Mon Apr 21 16:23:02 UTC 2025","","usePageObjects.spec.ts","",""
"","7848","checkboxes","firefox","Mon Apr 21 16:23:01 UTC 2025","passed","Mon Apr 21 16:23:09 UTC 2025","","uiComponents.spec.ts","",""
"","7070","Radio buttons","firefox","Mon Apr 21 16:23:01 UTC 2025","passed","Mon Apr 21 16:23:08 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","5176","drag and drop","chromium","Mon Apr 21 16:21:25 UTC 2025","passed","Mon Apr 21 16:21:30 UTC 2025","","uiComponents.spec.ts","",""
"","32102","datepicker","chromium","Mon Apr 21 16:22:27 UTC 2025","broken","Mon Apr 21 16:22:59 UTC 2025","","uiComponents.spec.ts","",""
"","4687","lists and dropdowns","chromium","Mon Apr 21 16:19:39 UTC 2025","passed","Mon Apr 21 16:19:43 UTC 2025","","uiComponents.spec.ts","",""
"","9861","drag and drop","firefox","Mon Apr 21 16:23:14 UTC 2025","passed","Mon Apr 21 16:23:24 UTC 2025","","uiComponents.spec.ts","",""
"","1301","test parameterized","chromium","Mon Apr 21 16:22:58 UTC 2025","passed","Mon Apr 21 16:23:00 UTC 2025","","usePageObjects.spec.ts","",""
"","32052","Input field","chromium","Mon Apr 21 16:20:46 UTC 2025","broken","Mon Apr 21 16:21:18 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","5461","slider","firefox","Mon Apr 21 16:23:14 UTC 2025","passed","Mon Apr 21 16:23:20 UTC 2025","","uiComponents.spec.ts","",""
"","1","Locators syntax rules","chromium","Mon Apr 21 16:21:30 UTC 2025","skipped","Mon Apr 21 16:21:30 UTC 2025","","uiComponents.spec.ts","",""
"","2966","test parameterized","firefox","Mon Apr 21 16:23:20 UTC 2025","passed","Mon Apr 21 16:23:23 UTC 2025","","usePageObjects.spec.ts","",""
"","4693","dialogs","firefox","Mon Apr 21 16:23:09 UTC 2025","passed","Mon Apr 21 16:23:14 UTC 2025","","uiComponents.spec.ts","",""
"","27147","tables","firefox","Mon Apr 21 16:23:13 UTC 2025","passed","Mon Apr 21 16:23:41 UTC 2025","","uiComponents.spec.ts","",""
