"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1804","the first test","chromium","Tue Apr 15 07:26:24 UTC 2025","passed","Tue Apr 15 07:26:26 UTC 2025","","firstTest.spec.ts","",""
"","1","Locators syntax rules","firefox","Tue Apr 15 07:26:33 UTC 2025","skipped","Tue Apr 15 07:26:33 UTC 2025","","firstTest.spec.ts","",""
"","3278","the first test","firefox","Tue Apr 15 07:26:29 UTC 2025","passed","Tue Apr 15 07:26:33 UTC 2025","","firstTest.spec.ts","",""
"","0","Locators syntax rules","chromium","Tue Apr 15 07:26:29 UTC 2025","skipped","Tue Apr 15 07:26:29 UTC 2025","","firstTest.spec.ts","",""
