"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4769","checkboxes","chromium","Wed Apr 16 06:52:00 UTC 2025","passed","Wed Apr 16 06:52:05 UTC 2025","","uiComponents.spec.ts","",""
"","2","Locators syntax rules","chromium","Wed Apr 16 06:51:59 UTC 2025","skipped","Wed Apr 16 06:51:59 UTC 2025","","firstTest.spec.ts","",""
"","10703","Input field","chromium","Wed Apr 16 06:52:00 UTC 2025","passed","Wed Apr 16 06:52:11 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","2917","tooltips","chromium","Wed Apr 16 06:52:04 UTC 2025","passed","Wed Apr 16 06:52:07 UTC 2025","","uiComponents.spec.ts","",""
"","5681","the first test","firefox","Wed Apr 16 06:52:06 UTC 2025","passed","Wed Apr 16 06:52:12 UTC 2025","","firstTest.spec.ts","",""
"","8260","Radio buttons","firefox","Wed Apr 16 06:52:10 UTC 2025","passed","Wed Apr 16 06:52:18 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","14565","Input field","firefox","Wed Apr 16 06:52:09 UTC 2025","passed","Wed Apr 16 06:52:23 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","3207","the first test","chromium","Wed Apr 16 06:52:00 UTC 2025","passed","Wed Apr 16 06:52:03 UTC 2025","","firstTest.spec.ts","",""
"","8607","lists and dropdowns","firefox","Wed Apr 16 06:52:13 UTC 2025","passed","Wed Apr 16 06:52:22 UTC 2025","","uiComponents.spec.ts","",""
"","1","Locators syntax rules","firefox","Wed Apr 16 06:52:07 UTC 2025","skipped","Wed Apr 16 06:52:07 UTC 2025","","firstTest.spec.ts","",""
"","4586","lists and dropdowns","chromium","Wed Apr 16 06:52:04 UTC 2025","passed","Wed Apr 16 06:52:08 UTC 2025","","uiComponents.spec.ts","",""
"","3929","Radio buttons","chromium","Wed Apr 16 06:52:00 UTC 2025","passed","Wed Apr 16 06:52:04 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","4227","tooltips","firefox","Wed Apr 16 06:52:19 UTC 2025","passed","Wed Apr 16 06:52:23 UTC 2025","","uiComponents.spec.ts","",""
"","7677","checkboxes","firefox","Wed Apr 16 06:52:14 UTC 2025","passed","Wed Apr 16 06:52:21 UTC 2025","","uiComponents.spec.ts","",""
