"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10","Radio buttons","firefox","Thu Apr 17 14:06:54 UTC 2025","failed","Thu Apr 17 14:06:54 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","17","dialogs","chromium","Thu Apr 17 14:06:46 UTC 2025","failed","Thu Apr 17 14:06:46 UTC 2025","","uiComponents.spec.ts","",""
"","13","Input field","chromium","Thu Apr 17 14:06:42 UTC 2025","failed","Thu Apr 17 14:06:42 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","9","the first test","firefox","Thu Apr 17 14:06:50 UTC 2025","failed","Thu Apr 17 14:06:50 UTC 2025","","firstTest.spec.ts","",""
"","14","Input field","firefox","Thu Apr 17 14:06:54 UTC 2025","failed","Thu Apr 17 14:06:54 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","14","checkboxes","chromium","Thu Apr 17 14:06:42 UTC 2025","failed","Thu Apr 17 14:06:42 UTC 2025","","uiComponents.spec.ts","",""
"","9","tables","firefox","Thu Apr 17 14:06:58 UTC 2025","failed","Thu Apr 17 14:06:58 UTC 2025","","uiComponents.spec.ts","",""
"","8","lists and dropdowns","firefox","Thu Apr 17 14:06:54 UTC 2025","failed","Thu Apr 17 14:06:54 UTC 2025","","uiComponents.spec.ts","",""
"","2","Locators syntax rules","chromium","Thu Apr 17 14:06:39 UTC 2025","skipped","Thu Apr 17 14:06:39 UTC 2025","","firstTest.spec.ts","",""
"","9","tooltips","firefox","Thu Apr 17 14:06:58 UTC 2025","failed","Thu Apr 17 14:06:58 UTC 2025","","uiComponents.spec.ts","",""
"","9","dialogs","firefox","Thu Apr 17 14:06:58 UTC 2025","failed","Thu Apr 17 14:06:58 UTC 2025","","uiComponents.spec.ts","",""
"","11","tables","chromium","Thu Apr 17 14:06:46 UTC 2025","failed","Thu Apr 17 14:06:46 UTC 2025","","uiComponents.spec.ts","",""
"","11","lists and dropdowns","chromium","Thu Apr 17 14:06:46 UTC 2025","failed","Thu Apr 17 14:06:46 UTC 2025","","uiComponents.spec.ts","",""
"","13","datepicker","firefox","Thu Apr 17 14:06:58 UTC 2025","failed","Thu Apr 17 14:06:58 UTC 2025","","uiComponents.spec.ts","",""
"","19","Radio buttons","chromium","Thu Apr 17 14:06:42 UTC 2025","failed","Thu Apr 17 14:06:42 UTC 2025","Form layouts page","uiComponents.spec.ts","",""
"","17","tooltips","chromium","Thu Apr 17 14:06:46 UTC 2025","failed","Thu Apr 17 14:06:46 UTC 2025","","uiComponents.spec.ts","",""
"","9","slider","chromium","Thu Apr 17 14:06:50 UTC 2025","failed","Thu Apr 17 14:06:50 UTC 2025","","uiComponents.spec.ts","",""
"","8","the first test","chromium","Thu Apr 17 14:06:42 UTC 2025","failed","Thu Apr 17 14:06:42 UTC 2025","","firstTest.spec.ts","",""
"","14","drag and drop","chromium","Thu Apr 17 14:06:50 UTC 2025","failed","Thu Apr 17 14:06:50 UTC 2025","","uiComponents.spec.ts","",""
"","7","drag and drop","firefox","Thu Apr 17 14:07:01 UTC 2025","failed","Thu Apr 17 14:07:01 UTC 2025","","uiComponents.spec.ts","",""
"","1","Locators syntax rules","firefox","Thu Apr 17 14:06:50 UTC 2025","skipped","Thu Apr 17 14:06:50 UTC 2025","","firstTest.spec.ts","",""
"","10","checkboxes","firefox","Thu Apr 17 14:06:54 UTC 2025","failed","Thu Apr 17 14:06:54 UTC 2025","","uiComponents.spec.ts","",""
"","8","slider","firefox","Thu Apr 17 14:07:01 UTC 2025","failed","Thu Apr 17 14:07:01 UTC 2025","","uiComponents.spec.ts","",""
"","10","datepicker","chromium","Thu Apr 17 14:06:50 UTC 2025","failed","Thu Apr 17 14:06:50 UTC 2025","","uiComponents.spec.ts","",""
